"","District","Epiweek","Epiyear","DISTCODE","SQKM","Province","Region","u5total","XCOORD","YCOORD","cases","IRSyear","IRSepiWeek","raint","tavg","rh","sd","psfc"
"1","ALTO MOLOCUE",48,2013,402,6340259.133,"ZAMBEZIA","Center",57155,37.663844,-15.649321,1044,NA,NA,0.36,23.2428571428571,75.16,5.24571428571429,946.022857142857
"2","ANCUABE",4,2012,202,4921447.249,"CABO DELGADO","Northern",19118,39.773754,-12.970017,805,NA,NA,60.91,22.8742857142857,94.0057142857143,1.23857142857143,938.162857142857
"3","ANGOCHE",40,2016,302,3018634.243,"NAMPULA","Coastal",56943,39.804676,-16.093356,1420,2015,36,6.9,23.9414285714286,50.3614285714286,11.5271428571429,947.915714285714
"4","ANGOCHE",44,2015,302,3018634.243,"NAMPULA","Coastal",53515,39.804676,-16.093356,1370,NA,NA,0.59,25.6357142857143,57.8542857142857,10.6742857142857,945.054285714286
"5","ANGONIA",16,2013,502,3260542.545,"TETE","Center",62497,34.163274,-14.673889,1108,NA,NA,0,20.6971428571429,86.45,2.46714285714286,947.027142857143
"6","BALAMA",4,2012,203,5497830.523,"CABO DELGADO","Northern",24881,38.407073,-13.463893,958,NA,NA,60.91,22.8742857142857,94.0057142857143,1.23857142857143,938.162857142857
"7","BARUE",44,2013,602,5774921.714,"MANICA","Center",37957,33.225028,-17.993775,1686,NA,NA,0.52,25.83,55.61,11.3085714285714,945.111428571429
"9","BUZI",20,2012,702,7226757.297,"SOFALA","Coastal",30597,34.372368,-20.039254,657,NA,NA,0,18.3871428571429,89.0971428571429,1.68,949.972857142857
"10","CAIA",20,2012,703,3583946.601,"SOFALA","Center",27229,35.008312,-17.782501,519,2013,12,0,18.3871428571429,89.0971428571429,1.68,949.972857142857
"11","CHANGARA",16,2013,504,8864387.453,"TETE","Center",33798,33.146396,-16.423373,850,NA,NA,0,20.6971428571429,86.45,2.46714285714286,947.027142857143
"12","CHEMBA",40,2012,704,3977728.592,"SOFALA","Center",15241,34.630099,-17.20599,765,2013,13,0,25.4285714285714,51.2257142857143,11.92,948.922857142857
"13","CHERINGOMA",28,2012,705,7104029.98,"SOFALA","Coastal",10809,35.222444,-18.528422,240,2013,14,0,16.8071428571429,80.3042857142857,2.77428571428571,951.628571428571
"14","CHIBABAVA",40,2012,706,6995031.906,"SOFALA","Center",22538,33.883565,-20.368542,3184,2013,15,0,25.4285714285714,51.2257142857143,11.92,948.922857142857
"15","CHIBUTO",8,2013,903,5605652.707,"GAZA","Southern",34162,33.609953,-24.300603,495,NA,NA,1.56,22.6414285714286,89.9128571428571,2.08,942.087142857143
"16","CHICUALACUALA",48,2012,904,18074226.66,"GAZA","Southern",7167,32.032354,-22.716503,111,NA,NA,1.84,24.1485714285714,71.0742857142857,6.79428571428571,946.451428571429
"17","CHIFUNDE",16,2013,505,9405178.457,"TETE","Center",27838,32.828576,-14.614503,419,NA,NA,0,20.6971428571429,86.45,2.46714285714286,947.027142857143
"18","CHIGUBO",48,2012,905,15040195.4,"GAZA","Southern",4486,33.24966,-22.911699,207,NA,NA,1.84,24.1485714285714,71.0742857142857,6.79428571428571,946.451428571429
"19","CHINDE",48,2013,403,4236685.674,"ZAMBEZIA","Coastal",19009,36.322677,-18.394915,806,NA,NA,0.36,23.2428571428571,75.16,5.24571428571429,946.022857142857
"21","CHIUTA",20,2012,506,7124545.421,"TETE","Center",18245,33.454608,-15.470653,507,NA,NA,0,18.3871428571429,89.0971428571429,1.68,949.972857142857
"22","CHOKWE",8,2013,906,2444499.871,"GAZA","Southern",31673,32.955684,-24.56186,797,NA,NA,1.56,22.6414285714286,89.9128571428571,2.08,942.087142857143
"23","CIDADE DA MATOLA",4,2014,1001,367684.2081,"MAPUTO","Coastal",117336,32.495158,-25.83472,3365,NA,NA,6.35,23.6085714285714,91.94,1.73857142857143,943.382857142857
"24","CIDADE DE LICHINGA",24,2014,101,256441.8321,"NIASSA","Northern",36044,35.246982,-13.297012,275,NA,NA,0,17.4685714285714,89.9271428571429,1.50428571428571,951.678571428571
"25","CIDADE DE MAXIXE",24,2013,810,267749.2819,"INHAMBANE","Coastal",17970,35.30948,-23.881673,358,NA,NA,0,17.8257142857143,86.8442857142857,1.98571428571429,951.508571428571
"26","CIDADE DE NAMPULA",44,2015,301,330083.4146,"NAMPULA","Northern",98571,39.262889,-15.10224,1484,NA,NA,0.59,25.6357142857143,57.8542857142857,10.6742857142857,945.054285714286
"27","CIDADE DE PEMBA",48,2015,201,100353.3487,"CABO DELGADO","Coastal",25962,40.531303,-13.01801,737,NA,NA,8.18,24.3785714285714,64.8171428571429,8.29857142857143,946.595714285714
"28","CIDADE DE TETE",12,2013,501,287289.9426,"TETE","Center",30938,33.567148,-16.13858,1255,NA,NA,2.98,22.3457142857143,92.0428571428571,1.57142857142857,945.667142857143
"29","CORONGOSA",28,2012,708,6778311.601,"SOFALA","Center",31728,34.217183,-18.613609,589,2013,17,0,16.8071428571429,80.3042857142857,2.77428571428571,951.628571428571
"30","CUAMBA",36,2012,102,5343909.413,"NIASSA","Northern",37697,36.544848,-14.747815,1209,NA,NA,0,22.49,54.07,9.36571428571428,950.498571428571
"31","DONDO",20,2012,707,2308162.094,"SOFALA","Coastal",24828,34.828571,-19.492692,401,2013,16,0,18.3871428571429,89.0971428571429,1.68,949.972857142857
"32","FUNHALOURO",4,2014,802,13621921.48,"INHAMBANE","Southern",7346,34.306372,-23.055279,402,2013,24,6.35,23.6085714285714,91.94,1.73857142857143,943.382857142857
